category,index,source_name_en,current_name_es,flag_reason,correction
equipment,forgery-kit,Forgery Kit,Kit de falsificación,name_ungrounded:not_found_in_manual,
equipment,herbalism-kit,Herbalism Kit,Kit de herboristería,name_ungrounded:not_found_in_manual; confidence:low,
equipment,healers-kit,Healer's Kit,Kit de sanador,name_ungrounded:not_found_in_manual,
equipment,mess-kit,Mess Kit,Kit de cocina,name_ungrounded:not_found_in_manual,
equipment,poisoners-kit,Poisoner's Kit,Kit de envenenador,name_ungrounded:not_found_in_manual; confidence:low,
equipment,ladder-10-foot,Ladder (10-foot),Escalera (3 m),name_ungrounded:not_found_in_manual,
equipment,lantern-hooded,"Lantern, hooded",Linterna con capucha,name_ungrounded:not_found_in_manual,
equipment,little-bag-of-sand,Little bag of sand,Pequeña bolsa de arena,name_ungrounded:not_found_in_manual,
equipment,mirror-steel,"Mirror, steel","Espejo, de acero",name_ungrounded:not_found_in_manual; confidence:low,
equipment,oil-flask,Oil (flask),Aceite (frasco),name_ungrounded:not_found_in_manual; confidence:low,
equipment,paper-one-sheet,Paper (one sheet),Papel (una hoja),name_ungrounded:not_found_in_manual,
equipment,parchment-one-sheet,Parchment (one sheet),Pergamino (una hoja),name_ungrounded:not_found_in_manual,
equipment,perfume-vial,Perfume (vial),Perfume (vial),name_ungrounded:not_found_in_manual,
equipment,pick-miners,"Pick, miner's",Pico de minero,name_ungrounded:not_found_in_manual,
equipment,piton,Piton,Pitón,name_ungrounded:not_found_in_manual,
equipment,poison-basic-vial,"Poison, basic (vial)",Veneno básico (vial),name_ungrounded:not_found_in_manual,
equipment,pole-10-foot,Pole (10-foot),Vara (3 m),name_ungrounded:not_found_in_manual,
equipment,ram-portable,"Ram, portable","Ariete, portátil",name_ungrounded:not_found_in_manual,
equipment,rations-1-day,Rations (1 day),Raciones (1 día),name_ungrounded:not_found_in_manual,
equipment,robes,Robes,Túnicas,name_ungrounded:not_found_in_manual; confidence:low,
equipment,rope-hempen-50-feet,"Rope, hempen (50 feet)","Cuerda, de cáñamo (15 m)",name_ungrounded:not_found_in_manual,
equipment,rope-silk-50-feet,"Rope, silk (50 feet)","Cuerda, de seda (15 pies)",name_ungrounded:not_found_in_manual,
equipment,sack,Sack,Saco,confidence:low,
equipment,scale-merchants,"Scale, merchant's",Balanza de mercader,name_ungrounded:not_found_in_manual; confidence:low,
equipment,sealing-wax,Sealing wax,Cera de lacre,name_ungrounded:not_found_in_manual; confidence:low,
equipment,signal-whistle,Signal whistle,Silbato de señales,name_ungrounded:not_found_in_manual; confidence:low,
equipment,signet-ring,Signet ring,Anillo de sello,name_ungrounded:not_found_in_manual,
equipment,small-knife,Small knife,Cuchillo pequeño,name_ungrounded:not_found_in_manual,
equipment,soap,Soap,Jabón,name_ungrounded:not_found_in_manual,
equipment,spike-iron,"Spike, iron","Clavo, de hierro",name_ungrounded:not_found_in_manual; confidence:low,
equipment,string-10-feet,String (10 feet),Cordel (3 m),name_ungrounded:not_found_in_manual,
equipment,tent-two-person,"Tent, two-person","Tienda de campaña, para dos personas",name_ungrounded:not_found_in_manual; confidence:low,
equipment,tinderbox,Tinderbox,Caja de pedernal,name_ungrounded:not_found_in_manual,
equipment,vestments,Vestments,Vestiduras,name_ungrounded:not_found_in_manual,
equipment,waterskin,Waterskin,Odre de agua,name_ungrounded:not_found_in_manual; confidence:low,
equipment,whetstone,Whetstone,Piedra de afilar,name_ungrounded:not_found_in_manual; confidence:low,
equipment,diplomats-pack,Diplomat's Pack,Pack del diplomático,name_ungrounded:not_found_in_manual; confidence:low,
equipment,entertainers-pack,Entertainer's Pack,Paquete de entretenedor,name_ungrounded:not_found_in_manual; confidence:low,
equipment,priests-pack,Priest's Pack,Paquete del sacerdote,name_ungrounded:not_found_in_manual,
equipment,alchemists-supplies,Alchemist's Supplies,Herramientas de alquimista,name_ungrounded:not_found_in_manual,
equipment,brewers-supplies,Brewer's Supplies,Herramientas de cervecero,name_ungrounded:not_found_in_manual,
equipment,calligraphers-supplies,Calligrapher's Supplies,Utensilios de calígrafo,name_ungrounded:not_found_in_manual,
equipment,cooks-utensils,Cook's utensils,Utensilios de cocina,name_ungrounded:not_found_in_manual,
equipment,glassblowers-tools,Glassblower's Tools,Herramientas de vidriero,name_ungrounded:not_found_in_manual,
equipment,leatherworkers-tools,Leatherworker's Tools,Herramientas de artesano de cuero,name_ungrounded:not_found_in_manual,
equipment,painters-supplies,Painter's Supplies,Herramientas de pintor,name_ungrounded:not_found_in_manual,
equipment,tinkers-tools,Tinker's Tools,Herramientas de juguetero,name_ungrounded:not_found_in_manual; confidence:low,
equipment,woodcarvers-tools,Woodcarver's Tools,Herramientas de tallador de madera,name_ungrounded:not_found_in_manual,
equipment,dice-set,Dice Set,Set de dados,name_ungrounded:not_found_in_manual,
equipment,playing-card-set,Playing Card Set,Juego de cartas,name_ungrounded:not_found_in_manual,
equipment,bagpipes,Bagpipes,Gaitas,name_ungrounded:not_found_in_manual,
equipment,drum,Drum,Tambor,confidence:low,
equipment,shawm,Shawm,Chirimía,confidence:low,
equipment,viol,Viol,Viola de gamba,name_ungrounded:not_found_in_manual,
equipment,donkey,Donkey,Burro,name_ungrounded:not_found_in_manual,
equipment,horse-riding,"Horse, riding","Caballo, de montar",name_ungrounded:not_found_in_manual; confidence:low,
equipment,barding-padded,Barding: Padded,Barda: Acolchada,name_ungrounded:not_found_in_manual,
equipment,barding-leather,Barding: Leather,Barda: Cuero,name_ungrounded:not_found_in_manual,
equipment,barding-studded-leather,Barding: Studded Leather,Barda: Cuero tachonado,name_ungrounded:not_found_in_manual,
equipment,barding-hide,Barding: Hide,Armadura de montar: Cuero,name_ungrounded:not_found_in_manual,
equipment,barding-chain-shirt,Barding: Chain shirt,Barda: Camisa de cota de malla,name_ungrounded:not_found_in_manual; confidence:low,
equipment,barding-scale-mail,Barding: Scale mail,Armadura para monturas: Escamas,name_ungrounded:not_found_in_manual; confidence:low,
equipment,barding-breastplate,Barding: Breastplate,Barda: Armadura de pecho,name_ungrounded:not_found_in_manual; confidence:low,
equipment,barding-half-plate,Barding: Half plate,Barda: Media armadura,name_ungrounded:not_found_in_manual,
equipment,barding-ring-mail,Barding: Ring mail,Armadura de barda: Armadura de anillos,name_ungrounded:not_found_in_manual; confidence:low,
equipment,barding-chain-mail,Barding: Chain mail,Armadura para monturas: Cota de malla,name_ungrounded:not_found_in_manual,
equipment,barding-splint,Barding: Splint,Barda: Armadura de placas,name_ungrounded:not_found_in_manual,
equipment,barding-plate,Barding: Plate,Barda: Placas,name_ungrounded:not_found_in_manual,
equipment,animal-feed-1-day,Animal Feed (1 day),Pienso para animales (1 día),name_ungrounded:not_found_in_manual; confidence:low,
equipment,saddle-exotic,"Saddle, Exotic",Silla de montar exótica,name_ungrounded:not_found_in_manual,
equipment,saddle-military,"Saddle, Military","Silla de montar, militar",name_ungrounded:not_found_in_manual,
equipment,saddle-pack,"Saddle, Pack","Silla de montar, de carga",name_ungrounded:not_found_in_manual; confidence:low,
equipment,saddle-riding,"Saddle, Riding",Silla de montar para montar,name_ungrounded:not_found_in_manual; confidence:low,
equipment,saddlebags,Saddlebags,Alforjas,name_ungrounded:not_found_in_manual; confidence:low,
equipment,stabling-1-day,Stabling (1 day),Estabulación (1 día),name_ungrounded:not_found_in_manual; confidence:low,
equipment,keelboat,Keelboat,Barca de fondo chato,name_ungrounded:not_found_in_manual; confidence:low,
equipment,sailing-ship,Sailing ship,Barco de vela,name_ungrounded:not_found_in_manual; confidence:low,
equipment,warship,Warship,Buque de guerra,name_ungrounded:not_found_in_manual; confidence:low,
features,brutal-strike,Brutal Strike,Golpe brutal,bullet_structure:paragraph_count_src0_vs_out2; confidence:low,
features,danger-sense,Danger Sense,Sentido del peligro,name_ungrounded:not_found_in_manual; confidence:low,
features,epic-boon,Epic Boon,Don épico,confidence:low,
features,improved-brutal-strike-2,Improved Brutal Strike (2),Golpe brutal mejorado (2),name_ungrounded:not_found_in_manual,
features,improved-brutal-strike,Improved Brutal Strike,Golpe Brutal Mejorado,confidence:low,
features,indomitable-might,Indomitable Might,Poder indomable,name_ungrounded:not_found_in_manual,
features,primal-champion,Primal Champion,Campeón primigenio,name_ungrounded:not_found_in_manual; confidence:low,
features,unarmed-strike,Unarmed Strike,Golpe desarmado,name_ungrounded:not_found_in_manual,
features,bardic-inspiration,Bardic Inspiration,Inspiración bárdica,bullet_structure:paragraph_count_src0_vs_out4,
features,countercharm,Countercharm,Contratrampa,name_ungrounded:not_found_in_manual; confidence:low,
features,epic-boon,Epic Boon,Don épico,confidence:low,
features,jack-of-all-trades,Jack of All Trades,Maestro de todo,name_ungrounded:not_found_in_manual,
features,superior-inspiration,Superior Inspiration,Inspiración Superior,confidence:low,
features,words-of-creation,Words of Creation,Palabras de la Creación,name_ungrounded:not_found_in_manual,
features,blessed-strikes-divine-strike,Blessed Strikes: Divine Strike,Golpes Benditos: Golpe divino,name_ungrounded:not_found_in_manual,
features,blessed-strikes-potent-spellcasting,Blessed Strikes: Potent Spellcasting,Golpes Benditos: Lanzamiento de Conjuros Potente,name_ungrounded:not_found_in_manual,
features,channel-divinity,Channel Divinity,Canalizar divinidad,bullet_structure:paragraph_count_src0_vs_out5,
features,divine-intervention,Divine Intervention,Intervención divina,name_ungrounded:not_found_in_manual; confidence:low,
features,divine-order-protector,Divine Order: Protector,Orden divina: Protector,name_ungrounded:not_found_in_manual,
features,divine-order-thaumaturge,Divine Order: Thaumaturge,Orden divina: Taumaturgo,name_ungrounded:not_found_in_manual,
features,epic-boon,Epic Boon,Don épico,name_ungrounded:not_found_in_manual; confidence:low,
features,greater-divine-intervention,Greater Divine Intervention,Intervención Divina Mayor,name_ungrounded:not_found_in_manual,
features,improved-blessed-strikes,Improved Blessed Strikes,Golpes Benditos Mejorados,confidence:low,
features,sear-undead,Sear Undead,Quemadura de muertos vivientes,name_ungrounded:not_found_in_manual; confidence:low,
features,archdruid,Archdruid,Archidruida,confidence:low,
features,beast-spells,Beast Spells,Conjuros de bestia,name_ungrounded:not_found_in_manual,
features,druidic,Druidic,Druídico,bullet_structure:paragraph_count_src0_vs_out1,
features,elemental-fury-potent-spellcasting,Elemental Fury: Potent Spellcasting,Furia Elemental: Lanzamiento de Conjuros Potente,name_ungrounded:not_found_in_manual; confidence:low,
features,elemental-fury-primal-strike,Elemental Fury: Primal Strike,Furia elemental: Golpe primordial,name_ungrounded:not_found_in_manual; confidence:low,
features,primal-order-magician,Primal Order: Magician,Orden Primordial: Mago,name_ungrounded:not_found_in_manual,
features,primal-order-warden,Primal Order: Warden,Orden Primordial: Guardián,name_ungrounded:not_found_in_manual,
features,primal-order,Primal Order,Orden Primordial,name_ungrounded:not_found_in_manual,
features,spellcasting,Spellcasting,Lanzamiento de conjuros,bullet_structure:paragraph_count_src0_vs_out6; confidence:low,
features,action-surge,Action Surge,Oleada de acción,name_ungrounded:not_found_in_manual; confidence:low,
features,epic-boon,Epic Boon,Don épico,confidence:low,
features,indomitable,Indomitable,Indomable,name_ungrounded:not_found_in_manual; confidence:low,
features,second-wind,Second Wind,Segundo aliento,name_ungrounded:not_found_in_manual; confidence:low,
features,tactical-shift,Tactical Shift,Cambio Táctico,name_ungrounded:not_found_in_manual; confidence:low,
features,two-extra-attacks,Two Extra Attacks,Dos ataques adicionales,confidence:low,
features,deflect-energy,Deflect Energy,Desviar Energía,confidence:low,
features,heightened-focus,Heightened Focus,Concentración agudizada,bullet_structure:paragraph_count_src0_vs_out3,
features,martial-arts,Martial Arts,Artes marciales,bullet_structure:paragraph_count_src0_vs_out3,
features,monk-s-focus,Monk's Focus,Foco del monje,bullet_structure:paragraph_count_src0_vs_out6; name_ungrounded:not_found_in_manual,
features,perfect-focus,Perfect Focus,Enfoque Perfecto,name_ungrounded:not_found_in_manual; confidence:low,
features,superior-defense,Superior Defense,Defensa Superior,confidence:low,
features,unarmed-strike,Unarmed Strike,Golpe desarmado,name_ungrounded:not_found_in_manual; confidence:low,
features,uncanny-metabolism,Uncanny Metabolism,Metabolismo asombroso,confidence:low,
features,abjure-foes,Abjure Foes,Abjurar enemigos,name_ungrounded:not_found_in_manual,
features,aura-of-courage,Aura of Courage,Aura de valor,name_ungrounded:not_found_in_manual,
features,channel-divinity,Channel Divinity,Canalizar divinidad,bullet_structure:paragraph_count_src0_vs_out3; confidence:low,
features,faithful-steed,Faithful Steed,Montura fiel,name_ungrounded:not_found_in_manual; confidence:low,
features,lay-on-hands,Lay on Hands,Imposición de manos,name_ungrounded:not_found_in_manual,
features,paladin-s-smite,Paladin's Smite,Castigo del paladín,name_ungrounded:not_found_in_manual,
features,restoring-touch,Restoring Touch,Toque Restaurador,name_ungrounded:not_found_in_manual; confidence:low,
features,spellcasting,Spellcasting,Lanzamiento de conjuros,bullet_structure:paragraph_count_src0_vs_out7,
features,druidic-warrior,Druidic Warrior,Guerrero druídico,confidence:low,
features,epic-boon,Epic Boon,Don épico,name_ungrounded:not_found_in_manual; confidence:low,
features,feral-senses,Feral Senses,Sentidos feroces,name_ungrounded:not_found_in_manual,
features,foe-slayer,Foe Slayer,Asesino de enemigos,name_ungrounded:not_found_in_manual,
features,relentless-hunter,Relentless Hunter,Cazador implacable,name_ungrounded:not_found_in_manual,
features,spellcasting,Spellcasting,Lanzamiento de conjuros,bullet_structure:paragraph_count_src0_vs_out7,
features,tireless,Tireless,Incansable,bullet_structure:paragraph_count_src0_vs_out2,
features,cunning-strike,Cunning Strike,Ataque Astuto,name_ungrounded:not_found_in_manual,
features,devious-strikes,Devious Strikes,Golpes de Malicia,name_ungrounded:not_found_in_manual; confidence:low,
features,epic-boon,Epic Boon,Don épico,confidence:low,
features,reliable-talent,Reliable Talent,Talento fiable,name_ungrounded:not_found_in_manual; confidence:low,
features,steady-aim,Steady Aim,Puntería firme,name_ungrounded:not_found_in_manual,
features,weapon-mastery,Weapon Mastery,Maestría en armas,name_ungrounded:not_found_in_manual,
features,font-of-magic,Font of Magic,Fuente de magia,bullet_structure:paragraph_count_src0_vs_out6,
features,sorcerous-restoration,Sorcerous Restoration,Restauración de hechicería,name_ungrounded:not_found_in_manual,
features,contact-patron,Contact Patron,Contacto con el patrón,name_ungrounded:not_found_in_manual,
